Date,volume,daily_return,weekly_return,monthly_return,RSI,MACD,MACD_signal,daily_volatility,high_low_ratio,true_range,ATR,wavelet_detail_3,wavelet_detail_2,wavelet_detail_1,acceptance
2020-12-22,155148000.0,0.4479231289233192,0.4437788405915165,0.5323605669826823,0.5915509921064692,0.662736793876184,0.7119805286510039,0.3481425103695708,0.1962906077616137,0.1789052984194468,0.4217594419723879,0.5284577327124311,0.504255378253024,0.5018811177834757,0.5922786716740586
2020-12-23,99519000.0,0.5015357743057945,0.4699769142212574,0.4903551262128785,0.5658699175543964,0.6531193270736733,0.7080181738981568,0.328012447945832,0.1504570321642315,0.1418586202358394,0.4206770958399224,0.510075385786295,0.4939002736922955,0.5552970240271665,0.5922786716740586
2020-12-24,68596800.0,0.5372722712953102,0.4415213127338369,0.4625667042232821,0.5799849172803305,0.6489841236736852,0.703908582840823,0.3078967726005974,0.1214362293897748,0.1206887653803334,0.4309244159925271,0.5058788732012074,0.6050453272052908,0.49883232596165,0.5825223098267917
2020-12-28,96835800.0,0.4880361519766217,0.3872617416927795,0.4413766299210219,0.5171294062381524,0.6443462275437392,0.6995669679708421,0.3033436713381838,0.0898771922662087,0.0959358809822467,0.4050621511375549,0.4748513015417485,0.4914745406596367,0.5321130609286885,0.6980015216760944
2020-12-29,68732400.0,0.4893257069274177,0.4574688834819216,0.4298016476984271,0.5066941270168372,0.6395000903889367,0.6949924121700692,0.302119759566053,0.05650158244062,0.0645123232569985,0.3891988151051251,0.4489667828637498,0.505302354917415,0.4733270090121549,0.6592470173600733
2020-12-30,128538000.0,0.5802074997003208,0.5179548737563823,0.4820737156032483,0.6614454927820935,0.643799436137804,0.6923097754300094,0.2992769209423754,0.1337575931593235,0.1511200374201732,0.3575164116062839,0.410955123266868,0.6043724575555636,0.5229365338670359,0.6710428179632465
2020-12-31,148949700.0,0.5172289571305857,0.525375293453744,0.471692551945955,0.6447396293967202,0.648962258040183,0.6913368951947767,0.2963828304810379,0.1245781489720432,0.1345262548773604,0.3275197469787465,0.3684762841010333,0.6484253512630346,0.48685823284434,0.6528856198636841
2021-01-04,145914600.0,0.5594616476941903,0.5357775808990111,0.5174150521385752,0.7265539996852269,0.6593572603129824,0.6929208107349119,0.2890151309925321,0.1171713118336601,0.1963813370040164,0.3351054297528422,0.327809881122429,0.5988246448959603,0.5166521601854714,0.6556772974505057
2021-01-05,96735600.0,0.498129357606475,0.5406566732828783,0.4909473027102709,0.6956922948897302,0.667179881485814,0.6959656003119347,0.2813593665357634,0.085578171650833,0.1016692834458256,0.3252396315352613,0.4018067811410213,0.4208428499429538,0.5699539985034334,0.6766725327184426
2021-01-06,134100000.0,0.5462929643731075,0.5683005596062515,0.5048310258043043,0.7431211393792105,0.6783228589476783,0.7009336258588329,0.283643703411096,0.0980587082705897,0.196767197841501,0.3392487238519744,0.5085289135291855,0.4470131729027153,0.4683426344206147,0.6766725327184426
2021-01-07,154496700.0,0.6629854842059086,0.6078979906922846,0.5105803299796023,0.8279011707191057,0.7056300309813741,0.7111134841413678,0.2917577264349658,0.1799260565250886,0.3187128500112994,0.3683137991516884,0.6668923981838193,0.6785828749140619,0.3725153987264482,0.6976677679863795
2021-01-08,225166500.0,0.6606003372754965,0.6807868998377445,0.5601291421239896,0.8463459360599926,0.7466595787096174,0.7285811596944426,0.3232398788917366,0.1841947918480562,0.3597289232981082,0.3941582347401633,0.7326499175760715,0.6740013341743785,0.6825251056062555,0.6668400169876089
2021-01-11,177904800.0,0.3026413924019311,0.5446346008725134,0.5528292208606933,0.6519911571774105,0.7515798487788907,0.743673410428876,0.3339797417080847,0.2168331566294643,0.4035570615372327,0.4029771422914567,0.6929271812175779,0.4759742581091419,0.3476119507732279,0.6505026684092569
2021-01-12,138812100.0,0.589176253342567,0.5888043140106923,0.5604235784118164,0.7845610279704509,0.7655582223300808,0.7589237365145334,0.3377457662968897,0.1610595889864416,0.2955589285081128,0.4099684078800078,0.6335016406275147,0.490219781780756,0.5998947215191747,0.7158010268260651
2021-01-13,99937500.0,0.4947777605851406,0.5633567037359807,0.5880768917845894,0.8112923277826167,0.7748488256184227,0.7732352471740435,0.3249988121920221,0.1019357140004952,0.1393223864773567,0.403598201843339,0.5162346729818591,0.6589540144549377,0.5048026707362896,0.6256286739825156
2021-01-14,93798900.0,0.4562328706824836,0.4681877984649251,0.5400460200610351,0.7843698329841308,0.7753375784195622,0.7847955226816121,0.3220193123380563,0.0809162068858455,0.1160576782458145,0.3994459728042765,0.4467043110499498,0.6408819123588068,0.4734323659508431,0.665368173869512
2021-01-15,116332800.0,0.4304463435325416,0.3710313012225525,0.5304266274267045,0.7284461218724326,0.7656306839783169,0.7918378929158166,0.3272777030875193,0.1636947774878816,0.2072969842666442,0.4133841135752705,0.4375146964285722,0.483781337429529,0.4762126084309627,0.7051076737565083
2021-01-19,76101000.0,0.5322808986312623,0.4738512402389996,0.5613244628957494,0.7415693480697167,0.7610514632693248,0.7964311808170786,0.320719304708604,0.04723344357906,0.1137980327658689,0.416258727431027,0.3770892996338367,0.621014023818215,0.4755460678433344,0.6641489866280309
2021-01-20,76997700.0,0.4973719868073937,0.4337235009566157,0.5256137883777742,0.7442857507451227,0.7561788627043657,0.7989985335367266,0.3098948889120543,0.0715143783160288,0.1048669568740578,0.422753129132727,0.3818255219612307,0.6209745710512692,0.5060094779905177,0.6641489866280309
2021-01-21,61563300.0,0.4667313197125473,0.4214505390721355,0.4771204792564713,0.7087441040719656,0.7471636706631365,0.7990037519473467,0.2948203732129111,0.0337141240406158,0.0612043678235467,0.4082827096220672,0.4150584316045834,0.5285910574866398,0.5340747948524844,0.7195307221486102
2021-01-22,60199500.0,0.4858679145540852,0.4344788952404308,0.5293276568823979,0.7002392927290206,0.737489238479059,0.7968094534128467,0.2476455898564976,0.0590370657711076,0.0892099404716915,0.4009898085841419,0.48391803644935,0.5479030738498208,0.4616893822444534,0.6852179645873068
2021-01-25,123520200.0,0.5736226437929854,0.4989841244096861,0.5729676781841357,0.7094775717564072,0.7387649067863429,0.7953439047423798,0.2460339697242261,0.2571800777027349,0.3218555086177059,0.4211827728266138,0.5959919096316075,0.6484600923435859,0.5026541857296926,0.624709234637344
