day,sentiment_score,acceptance
2020-05-05,0.14693333333333333,0.7039584275104905
2020-05-06,0.1163,0.6350457333608774
2020-05-07,-0.22703333333333334,0.6390714154460927
2020-05-08,0.4618,0.7241116890169619
2020-05-09,0.44725,0.6733283118496362
2020-05-10,-0.392,0.669805418560091
2020-05-11,-0.1589,0.6096704280272546
2020-05-12,-0.02065,0.652337916650815
2020-05-13,0.1591,0.5698544414372725
2020-05-14,0.10115,0.7034264050243557
2020-05-15,0.1279142857142857,0.6471168971170129
2020-05-16,0.19852380952380952,0.6664347436781113
2020-05-17,0.26913333333333334,0.6857525902392095
2020-05-18,0.0,0.7071832608393737
2020-05-19,-0.5093,0.7067810910684365
2020-05-20,0.4215,0.5633580157712877
2020-05-21,0.21075,0.6331191204742552
2020-05-22,0.0,0.7028802251772227
